Ano,Unidade Orçamentária,Modalidade de Aplicação,Subfunção,Dotação Inicial,Dotação Atual,Empenhado,Liquidado,Pago
2000,30103 - Arquivo Nacional,50 - Transferências a Instituições Privadas sem Fins Lucrativos,"391 - Patrimônio Histórico, Artístico e Arqueológico",0,0,950000,950000,0
2000,30103 - Arquivo Nacional,72 - Execução Orçamentária Delegada a Consórcios Públicos,212 - Cooperação Internacional,22130,22130,17470,17470,17470
2000,30103 - Arquivo Nacional,90 - Aplicações Diretas,128 - Formação de Recursos Humanos,2050,2050,2050,2050,2050
2000,30103 - Arquivo Nacional,90 - Aplicações Diretas,"391 - Patrimônio Histórico, Artístico e Arqueológico",1645084,1645084,639687,639687,256237
2000,30103 - Arquivo Nacional,90 - Aplicações Diretas,392 - Difusão Cultural,58200,58200,50065,50065,19883
2000,32263 - Departamento Nacional de Produção Mineral - DNPM,90 - Aplicações Diretas,"391 - Patrimônio Histórico, Artístico e Arqueológico",371174,371174,181804,181804,181802
2000,42101 - Ministério da Cultura - Administração Direta,30 - Transferências a Estados e ao Distrito Federal,128 - Formação de Recursos Humanos,0,76339,76339,76339,76339
2000,42101 - Ministério da Cultura - Administração Direta,30 - Transferências a Estados e ao Distrito Federal,"391 - Patrimônio Histórico, Artístico e Arqueológico",0,83000,111000,111000,111000
2000,42101 - Ministério da Cultura - Administração Direta,30 - Transferências a Estados e ao Distrito Federal,392 - Difusão Cultural,2232840,2128988,567627,567627,557627
2000,42101 - Ministério da Cultura - Administração Direta,40 - Transferências a Municípios,128 - Formação de Recursos Humanos,0,7500,7500,7500,7500
2000,42101 - Ministério da Cultura - Administração Direta,40 - Transferências a Municípios,"391 - Patrimônio Histórico, Artístico e Arqueológico",17100715,13612088,1145111,1145111,1145111
2000,42101 - Ministério da Cultura - Administração Direta,40 - Transferências a Municípios,392 - Difusão Cultural,36116050,23483532,14447193,14447193,12341259
2000,42101 - Ministério da Cultura - Administração Direta,50 - Transferências a Instituições Privadas sem Fins Lucrativos,128 - Formação de Recursos Humanos,324000,234115,244127,244127,244127
2000,42101 - Ministério da Cultura - Administração Direta,50 - Transferências a Instituições Privadas sem Fins Lucrativos,"391 - Patrimônio Histórico, Artístico e Arqueológico",473825,1740984,2009242,2009242,1783782
2000,42101 - Ministério da Cultura - Administração Direta,50 - Transferências a Instituições Privadas sem Fins Lucrativos,392 - Difusão Cultural,2608787,10734797,16041618,16041618,13823444
2000,42101 - Ministério da Cultura - Administração Direta,72 - Execução Orçamentária Delegada a Consórcios Públicos,212 - Cooperação Internacional,798310,687500,488593,488593,488593
2000,42101 - Ministério da Cultura - Administração Direta,72 - Execução Orçamentária Delegada a Consórcios Públicos,"391 - Patrimônio Histórico, Artístico e Arqueológico",0,4150000,2730000,2730000,2730000
2000,42101 - Ministério da Cultura - Administração Direta,72 - Execução Orçamentária Delegada a Consórcios Públicos,392 - Difusão Cultural,87300,200024,215183,215183,185200
2000,42101 - Ministério da Cultura - Administração Direta,90 - Aplicações Diretas,122 - Administração Geral,13659989,14446564,14331245,14331245,13605089
2000,42101 - Ministério da Cultura - Administração Direta,90 - Aplicações Diretas,126 - Tecnologia da Informação,816000,443487,435545,435545,286299
2000,42101 - Ministério da Cultura - Administração Direta,90 - Aplicações Diretas,128 - Formação de Recursos Humanos,806699,562745,346645,346645,233833
2000,42101 - Ministério da Cultura - Administração Direta,90 - Aplicações Diretas,131 - Comunicação Social,700000,700000,670146,670146,653559
2000,42101 - Ministério da Cultura - Administração Direta,90 - Aplicações Diretas,212 - Cooperação Internacional,0,0,72440,72440,0
2000,42101 - Ministério da Cultura - Administração Direta,90 - Aplicações Diretas,301 - Atenção Básica,646000,766000,701819,701819,701819
2000,42101 - Ministério da Cultura - Administração Direta,90 - Aplicações Diretas,306 - Alimentação e Nutrição,470000,412000,336433,336433,336433
2000,42101 - Ministério da Cultura - Administração Direta,90 - Aplicações Diretas,331 - Proteção e Benefícios ao Trabalhador,262000,262000,253162,253162,253162
2000,42101 - Ministério da Cultura - Administração Direta,90 - Aplicações Diretas,365 - Educação Infantil,114000,114000,82737,82737,82737
2000,42101 - Ministério da Cultura - Administração Direta,90 - Aplicações Diretas,"391 - Patrimônio Histórico, Artístico e Arqueológico",15035045,12796556,5878103,5878103,4018056
2000,42101 - Ministério da Cultura - Administração Direta,90 - Aplicações Diretas,392 - Difusão Cultural,13791274,19895397,19111931,19111931,12162967
2000,42101 - Ministério da Cultura - Administração Direta,90 - Aplicações Diretas,571 - Desenvolvimento Científico,89725,89725,36952,36952,7644
2000,42101 - Ministério da Cultura - Administração Direta,99 - A DEFINIR,392 - Difusão Cultural,205000,100000,0,0,0
2000,42201 - Fundação Casa de Rui Barbosa,90 - Aplicações Diretas,122 - Administração Geral,5195301,5558792,5532898,5532898,5475840
2000,42201 - Fundação Casa de Rui Barbosa,90 - Aplicações Diretas,126 - Tecnologia da Informação,188942,188942,188371,188371,187071
2000,42201 - Fundação Casa de Rui Barbosa,90 - Aplicações Diretas,128 - Formação de Recursos Humanos,8000,8000,7996,7996,7896
2000,42201 - Fundação Casa de Rui Barbosa,90 - Aplicações Diretas,301 - Atenção Básica,140580,140580,140580,140580,140580
2000,42201 - Fundação Casa de Rui Barbosa,90 - Aplicações Diretas,306 - Alimentação e Nutrição,115300,115300,106259,106259,106259
2000,42201 - Fundação Casa de Rui Barbosa,90 - Aplicações Diretas,331 - Proteção e Benefícios ao Trabalhador,60480,60480,43899,43899,43899
2000,42201 - Fundação Casa de Rui Barbosa,90 - Aplicações Diretas,365 - Educação Infantil,28400,28400,20274,20274,20274
2000,42201 - Fundação Casa de Rui Barbosa,90 - Aplicações Diretas,367 - Educação Especial,10100,10100,10096,10096,3096
2000,42201 - Fundação Casa de Rui Barbosa,90 - Aplicações Diretas,"391 - Patrimônio Histórico, Artístico e Arqueológico",745088,745088,742821,742821,613090
2000,42201 - Fundação Casa de Rui Barbosa,90 - Aplicações Diretas,392 - Difusão Cultural,519718,519718,516380,516380,466541
2000,42202 - Fundação Biblioteca Nacional - BN,72 - Execução Orçamentária Delegada a Consórcios Públicos,212 - Cooperação Internacional,92294,95000,92420,92420,92420
2000,42202 - Fundação Biblioteca Nacional - BN,90 - Aplicações Diretas,122 - Administração Geral,11471700,12699258,12513925,12513925,12034336
2000,42202 - Fundação Biblioteca Nacional - BN,90 - Aplicações Diretas,126 - Tecnologia da Informação,451000,451000,450880,450880,403735
2000,42202 - Fundação Biblioteca Nacional - BN,90 - Aplicações Diretas,128 - Formação de Recursos Humanos,131040,131040,130845,130845,128360
2000,42202 - Fundação Biblioteca Nacional - BN,90 - Aplicações Diretas,301 - Atenção Básica,706000,706000,706000,706000,551248
2000,42202 - Fundação Biblioteca Nacional - BN,90 - Aplicações Diretas,306 - Alimentação e Nutrição,420000,420000,420000,420000,392293
2000,42202 - Fundação Biblioteca Nacional - BN,90 - Aplicações Diretas,331 - Proteção e Benefícios ao Trabalhador,264000,286000,285583,285583,277542
2000,42202 - Fundação Biblioteca Nacional - BN,90 - Aplicações Diretas,365 - Educação Infantil,110000,110000,109999,109999,89252
2000,42202 - Fundação Biblioteca Nacional - BN,90 - Aplicações Diretas,"391 - Patrimônio Histórico, Artístico e Arqueológico",680570,680570,680137,680137,565753
2000,42202 - Fundação Biblioteca Nacional - BN,90 - Aplicações Diretas,392 - Difusão Cultural,4708390,4708390,4697538,4697538,4040695
2000,42202 - Fundação Biblioteca Nacional - BN,90 - Aplicações Diretas,"422 - Direitos Individuais, Coletivos e Difusos",100000,100000,100000,100000,99253
2000,42202 - Fundação Biblioteca Nacional - BN,99 - A DEFINIR,212 - Cooperação Internacional,2706,0,0,0,0
2000,42203 - Fundação Cultural Palmares,30 - Transferências a Estados e ao Distrito Federal,392 - Difusão Cultural,0,0,240545,240545,240545
2000,42203 - Fundação Cultural Palmares,40 - Transferências a Municípios,"391 - Patrimônio Histórico, Artístico e Arqueológico",0,5000,6500,6500,6500
2000,42203 - Fundação Cultural Palmares,40 - Transferências a Municípios,392 - Difusão Cultural,100000,100000,100000,100000,100000
2000,42203 - Fundação Cultural Palmares,50 - Transferências a Instituições Privadas sem Fins Lucrativos,128 - Formação de Recursos Humanos,0,22559,22559,22559,22559
2000,42203 - Fundação Cultural Palmares,50 - Transferências a Instituições Privadas sem Fins Lucrativos,131 - Comunicação Social,0,8334,8334,8334,8334
2000,42203 - Fundação Cultural Palmares,50 - Transferências a Instituições Privadas sem Fins Lucrativos,"391 - Patrimônio Histórico, Artístico e Arqueológico",509785,797902,835402,835402,835402
2000,42203 - Fundação Cultural Palmares,50 - Transferências a Instituições Privadas sem Fins Lucrativos,392 - Difusão Cultural,0,89100,196606,196606,196606
2000,42203 - Fundação Cultural Palmares,50 - Transferências a Instituições Privadas sem Fins Lucrativos,571 - Desenvolvimento Científico,31130,31130,31130,31130,31130
2000,42203 - Fundação Cultural Palmares,90 - Aplicações Diretas,122 - Administração Geral,1689366,2379235,2227777,2227777,2161847
2000,42203 - Fundação Cultural Palmares,90 - Aplicações Diretas,126 - Tecnologia da Informação,87995,87995,78806,78806,78806
2000,42203 - Fundação Cultural Palmares,90 - Aplicações Diretas,128 - Formação de Recursos Humanos,60000,37441,35372,35372,34980
2000,42203 - Fundação Cultural Palmares,90 - Aplicações Diretas,131 - Comunicação Social,10000,1666,1665,1665,1665
2000,42203 - Fundação Cultural Palmares,90 - Aplicações Diretas,301 - Atenção Básica,47000,65664,64827,64827,64827
2000,42203 - Fundação Cultural Palmares,90 - Aplicações Diretas,306 - Alimentação e Nutrição,33000,40293,39005,39005,39005
2000,42203 - Fundação Cultural Palmares,90 - Aplicações Diretas,331 - Proteção e Benefícios ao Trabalhador,12000,25410,23388,23388,23388
2000,42203 - Fundação Cultural Palmares,90 - Aplicações Diretas,365 - Educação Infantil,10000,11400,10716,10716,10716
2000,42203 - Fundação Cultural Palmares,90 - Aplicações Diretas,"391 - Patrimônio Histórico, Artístico e Arqueológico",1469530,776413,694639,694639,491961
2000,42203 - Fundação Cultural Palmares,90 - Aplicações Diretas,392 - Difusão Cultural,280335,7708035,6642512,6642512,2193074
2000,42203 - Fundação Cultural Palmares,90 - Aplicações Diretas,571 - Desenvolvimento Científico,43650,43650,41618,41618,41618
2000,42204 - Instituto do Patrimônio Histórico e Artístico Nacional,50 - Transferências a Instituições Privadas sem Fins Lucrativos,571 - Desenvolvimento Científico,0,0,25000,25000,25000
2000,42204 - Instituto do Patrimônio Histórico e Artístico Nacional,72 - Execução Orçamentária Delegada a Consórcios Públicos,212 - Cooperação Internacional,131040,180898,178669,178669,178669
2000,42204 - Instituto do Patrimônio Histórico e Artístico Nacional,90 - Aplicações Diretas,122 - Administração Geral,35699643,35844643,35833571,35833571,35534246
2000,42204 - Instituto do Patrimônio Histórico e Artístico Nacional,90 - Aplicações Diretas,125 - Normatização e Fiscalização,544752,544752,544752,544752,529116
2000,42204 - Instituto do Patrimônio Histórico e Artístico Nacional,90 - Aplicações Diretas,126 - Tecnologia da Informação,663580,663580,663580,663580,651961
2000,42204 - Instituto do Patrimônio Histórico e Artístico Nacional,90 - Aplicações Diretas,128 - Formação de Recursos Humanos,60000,60000,60000,60000,60000
2000,42204 - Instituto do Patrimônio Histórico e Artístico Nacional,90 - Aplicações Diretas,301 - Atenção Básica,2199057,2199057,2179888,2179888,1991450
2000,42204 - Instituto do Patrimônio Histórico e Artístico Nacional,90 - Aplicações Diretas,306 - Alimentação e Nutrição,1397088,1397088,1173951,1173951,1173951
2000,42204 - Instituto do Patrimônio Histórico e Artístico Nacional,90 - Aplicações Diretas,331 - Proteção e Benefícios ao Trabalhador,754855,834855,823385,823385,823385
2000,42204 - Instituto do Patrimônio Histórico e Artístico Nacional,90 - Aplicações Diretas,365 - Educação Infantil,342000,342000,251250,251250,251250
2000,42204 - Instituto do Patrimônio Histórico e Artístico Nacional,90 - Aplicações Diretas,"391 - Patrimônio Histórico, Artístico e Arqueológico",9129084,9579226,9489219,9489219,8135273
2000,42204 - Instituto do Patrimônio Histórico e Artístico Nacional,90 - Aplicações Diretas,392 - Difusão Cultural,417900,417900,416351,416351,353131
2000,42204 - Instituto do Patrimônio Histórico e Artístico Nacional,90 - Aplicações Diretas,571 - Desenvolvimento Científico,269175,269175,244175,244175,221350
2000,42205 - Fundação Nacional de Artes,90 - Aplicações Diretas,122 - Administração Geral,11276550,11433421,11330348,11330348,11223564
2000,42205 - Fundação Nacional de Artes,90 - Aplicações Diretas,126 - Tecnologia da Informação,324000,324000,321128,321128,302627
2000,42205 - Fundação Nacional de Artes,90 - Aplicações Diretas,128 - Formação de Recursos Humanos,559500,559500,519042,519042,509537
2000,42205 - Fundação Nacional de Artes,90 - Aplicações Diretas,301 - Atenção Básica,758000,758000,758000,758000,707331
2000,42205 - Fundação Nacional de Artes,90 - Aplicações Diretas,306 - Alimentação e Nutrição,450000,450000,450000,450000,412873
2000,42205 - Fundação Nacional de Artes,90 - Aplicações Diretas,331 - Proteção e Benefícios ao Trabalhador,350000,350000,350000,350000,350000
2000,42205 - Fundação Nacional de Artes,90 - Aplicações Diretas,365 - Educação Infantil,101000,101000,101000,101000,95502
2000,42205 - Fundação Nacional de Artes,90 - Aplicações Diretas,"391 - Patrimônio Histórico, Artístico e Arqueológico",348863,348863,320607,320607,298390
2000,42205 - Fundação Nacional de Artes,90 - Aplicações Diretas,392 - Difusão Cultural,5527298,5527298,4999415,4999415,4660155
2000,42902 - Fundo Nacional de Cultura,30 - Transferências a Estados e ao Distrito Federal,128 - Formação de Recursos Humanos,0,47187,40187,40187,40187
2000,42902 - Fundo Nacional de Cultura,30 - Transferências a Estados e ao Distrito Federal,"391 - Patrimônio Histórico, Artístico e Arqueológico",540000,540000,220000,220000,220000
2000,42902 - Fundo Nacional de Cultura,30 - Transferências a Estados e ao Distrito Federal,392 - Difusão Cultural,2719500,3241670,694713,694713,662713
2000,42902 - Fundo Nacional de Cultura,40 - Transferências a Municípios,128 - Formação de Recursos Humanos,300000,300000,90000,90000,0
2000,42902 - Fundo Nacional de Cultura,40 - Transferências a Municípios,"391 - Patrimônio Histórico, Artístico e Arqueológico",1699000,1445676,491133,491133,491133
2000,42902 - Fundo Nacional de Cultura,40 - Transferências a Municípios,392 - Difusão Cultural,19766482,22734112,7565657,7565657,6811032
2000,42902 - Fundo Nacional de Cultura,50 - Transferências a Instituições Privadas sem Fins Lucrativos,"391 - Patrimônio Histórico, Artístico e Arqueológico",422000,1884904,3412484,3412484,486981
2000,42902 - Fundo Nacional de Cultura,50 - Transferências a Instituições Privadas sem Fins Lucrativos,392 - Difusão Cultural,4266000,8384201,17435263,17435263,10721311
2000,42902 - Fundo Nacional de Cultura,90 - Aplicações Diretas,122 - Administração Geral,1000000,1000000,875109,875109,715570
2000,42902 - Fundo Nacional de Cultura,90 - Aplicações Diretas,126 - Tecnologia da Informação,50000,0,0,0,0
2000,42902 - Fundo Nacional de Cultura,90 - Aplicações Diretas,128 - Formação de Recursos Humanos,849668,457481,81723,81723,81723
2000,42902 - Fundo Nacional de Cultura,90 - Aplicações Diretas,"391 - Patrimônio Histórico, Artístico e Arqueológico",660000,5476717,1861448,1861448,225798
2000,42902 - Fundo Nacional de Cultura,90 - Aplicações Diretas,392 - Difusão Cultural,11043468,23904520,13438537,13438537,5532372
2000,42902 - Fundo Nacional de Cultura,99 - A DEFINIR,128 - Formação de Recursos Humanos,2000000,1180000,0,0,0
2000,42902 - Fundo Nacional de Cultura,99 - A DEFINIR,"391 - Patrimônio Histórico, Artístico e Arqueológico",170000,0,0,0,0
2000,42902 - Fundo Nacional de Cultura,99 - A DEFINIR,392 - Difusão Cultural,800000,0,0,0,0
