Ano,Doutorado,Doutorado Sanduíche no Exterior,Doutorado no Exterior,Graduação Sanduíche no Exterior,Iniciação Científica,Mestrado
2001,9206.0,218.0,570.0,,35092.0,10069.0
2002,9088.0,191.0,551.0,,32794.0,9716.0
2003,9325.0,115.0,418.0,,33820.0,10391.0
2004,9686.0,220.0,341.0,,36794.0,11025.0
2005,9554.0,207.0,254.0,,36691.0,12040.0
2006,10240.0,201.0,171.0,,38633.0,12956.0
2007,10586.0,336.0,156.0,,42370.0,13681.0
2008,11224.0,456.0,154.0,,47049.0,14913.0
2009,12305.0,474.0,146.0,,52097.0,17469.0
2010,12462.0,455.0,138.0,,59717.0,16919.0
2011,13293.0,529.0,128.0,,61861.0,17430.0
2012,12925.0,746.0,340.0,6436.0,61714.0,15883.0
2013,12604.0,1019.0,597.0,11879.0,59650.0,15197.0
2014,12135.0,890.0,853.0,14909.0,60628.0,14523.0
2015,11685.0,1457.0,1577.0,12713.0,62613.0,14775.0
2016,11483.0,391.0,1221.0,158.0,53993.0,14515.0
2017,11601.0,186.0,1313.0,38.0,71168.0,14463.0
2018,11679.0,282.0,1092.0,2.0,59508.0,14213.0
2019,11319.0,237.0,700.0,,60485.0,13472.0
2020,10722.0,138.0,120.0,1.0,60236.0,11824.0
2021,8699.0,109.0,40.0,,30652.0,7784.0
