Assunto,Opinião original,Data,Fonte,Tipo de Fonte,Opinião nova,Data,Tempo em Dias,Fonte,Tipo de Fonte,Observações
Moraes e ameaças à democracia,"“Dizer a vocês, que qualquer decisão do senhor Alexandre de Moraes, esse presidente não mais cumprirá. A paciência do nosso povo já se esgotou, ele tem tempo ainda de pedir o seu boné e ir cuidar da sua vida. Ele, para nós, não existe mais.”",09/07/21,https://g1.globo.com/sp/sao-paulo/noticia/2021/09/07/bolsonaro-ataca-alexandre-de-moraes-e-diz-que-ministro-tem-tempo-para-se-redimir-ou-se-enquadra-ou-pede-para-sair.ghtml,Imprensa,"Nunca tive nenhuma intenção de agredir quaisquer dos Poderes. A harmonia entre eles não é vontade minha, mas determinação constitucional que todos, sem exceção, devem respeitar.",09/09/21,2,https://g1.globo.com/politica/noticia/2021/09/09/bolsonaro-divulga-texto-sobre-crise-institucional.ghtml,Imprensa,"Em atos de 7 de setembro, o presidente subiu em palanques em Brasília e em São Paulo com duras críticas ao ministro Alexandre de Moraes, chegando a afirmar que não cumpriria mais decisões expedidas pelo magistrado. Dois dias depois, no entanto, o presidente deu “guinada” no discurso, afirmando que a harmonia entre os Poderes era uma obrigação constitucional"
Centrão,"Chamava o bloco de ""alta nata de tudo que não presta no Brasil”",07/21/18,https://www1.folha.uol.com.br/poder/2018/07/alianca-de-alckmin-com-centrao-juntou-alta-nata-de-tudo-que-nao-presta-diz-bolsonaro.shtml,Imprensa,"“Eu sou do Centrão, eu nasci de lá”, disse, após indicar vários políticos do bloco para ministérios do governo",07/24/21,1099,https://www1.folha.uol.com.br/opiniao/2021/07/eu-sou-do-centrao.shtml,Imprensa,"Bloco de partidos de centro saiu de “alta nata de tudo o que não presta no Brasil” para principal bloco de sustentação do governo no Congresso, incluindo o principal ministério do governo, a Casa Civil"
Combate à corrupção,Citou o combate à corrupção como prioridade logo no primeiro discurso de campanha,01/01/19,https://agenciabrasil.ebc.com.br/politica/noticia/2019-01/apos-receber-faixa-bolsonaro-defende-fim-de-corrupcao-e-de-vantagens,Imprensa,"Diversas interferências na Coaf, PF, PGR e indicação de aliados para o STF; caso Sergio Moro o mais emblemático",08/16/19,227,"https://politica.estadao.com.br/noticias/geral,bolsonaro-sobre-indicacao-para-a-policia-federal-quem-manda-sou-eu,70002970080",Imprensa,"Discurso forte na campanha, a promessa de combate à corrupção foi abandonada já no caso Coaf; de lá para cá, de lá para cá, foram vários os episódios de interferência de Bolsonaro em órgãos de fiscalização"
Reeleição,"“O que eu pretendo é fazer uma excelente reforma política, acabando com o instituto da reeleição, que começa comigo caso seja eleito”",10/20/18,https://veja.abril.com.br/politica/bolsonaro-diz-que-vai-propor-fim-da-reeleicao-para-presidente/,Imprensa,"""Se tiver uma boa reforma política, eu posso até nesse caldeirão jogar fora a possibilidade de reeleição. Agora se não tiver uma boa reforma política e, se o povo quiser, estamos aí para continuar mais quatro anos""",06/20/19,243,"https://www.correiobraziliense.com.br/app/noticia/holofote/2019/06/20/interna-holofote,764550/em-6-meses-como-presidente-bolsonaro-muda-de-ideia-sobre-reeleicao.shtml",Imprensa,"Seis meses após assumir o mandato, o presidente mudou de discurso com relação à reeleição. Antes, dizia que puxaria uma reforma eliminando o instituto da lei brasileira. Depois de eleito, no entanto, nunca articulou qualquer reforma, condicionando o fim da reeleição a uma mudança do sistema eleitoral brasileiro."
Fundão Eleitoral,"“Aquela proposta que foi R$ 2 bilhões é em função de uma lei que tinha, não é que quero isso. Em havendo brecha para vetar, eu vou fazer isso. Porque eu não vejo, com todo respeito, como justos recursos para fazer campanha [...] A tendência é vetar, sim”",12/19/19,https://g1.globo.com/politica/noticia/2019/12/19/tendencia-e-vetar-diz-bolsonaro-sobre-fundo-eleitoral-de-r-2-bilhoes.ghtml,Imprensa,"“O veto ou sanção, a sanção é uma obediência à lei. Se você for ler o artigo 85 da Constituição, se eu não respeitar a lei, estou incurso em crime de responsabilidade. Só isso. É o que eu posso dizer”",01/02/20,14,https://oglobo.globo.com/politica/bolsonaro-sinaliza-que-ira-sancionar-fundo-eleitoral-diz-que-tem-que-preparar-opiniao-publica-1-24168131,Imprensa,"Em 2019, deputados incluíram grande ampliação do Fundo Eleitoral para a eleição municipal de 2020. Na época, Bolsonaro chegou a se manifestar contra a medida, sinalizando que vetaria o incremento na verba. Depois, no entanto, mudou o discurso e sancionou o projeto sem vetos, dizendo se tratar de “obrigação da lei”"
"Toma lá, dá cá","“Propomos um governo decente, diferente de tudo aquilo que nos jogou em uma crise ética, moral e fiscal. Um governo sem toma lá-dá-cá, sem acordos espúrios”",08/16/18,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2018/BR/BR/2022802018/280000614517/proposta_1534284632231.pdf,TSE,"Grandes votações de interesse do governo no Congresso, como Reforma Administrativa ou PEC do voto impresso, tem sido precedidas sempre por negaciações e grande liberação de emendas parlamentares; só no caso do voto impresso, foram R$ 1 bi às vésperas da votação da proposta",08/13/21,1093,"https://politica.estadao.com.br/noticias/geral,governo-bolsonaro-liberou-r-1-bilhao-de-emendas-antes-de-analise-de-pec-do-voto-impresso,70003809626",Imprensa,"Proposta do fim de “negociatas espúrias” estava previsto no plano de governo apresentado por Bolsonaro ao TSE. Na prática, governo tem ampliado participação de políticos no governo, sobretudo após aporximação com o Centrão, e feito volumosas liberações de emendas parlamentares antes de votações de interesse do governo; só no caso da PEC do voto impresso, foram R$ 1 bi liberados às vésperas da votaçao"
Extinção de ministérios,"“""Um número elevado de ministérios é ineficiente, não atendendo os legítimos interesses da Nação. O quadro atual deve ser visto como o resultado da forma perniciosa e corrupta de se fazer política nas últimas décadas, caracterizada pelo loteamento do Estado, o popular “toma lá-dá-cá”.""",08/16/18,https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2018/BR/BR/2022802018/280000614517/proposta_1534284632231.pdf,TSE,"“""Se tiver um clima no Parlamento, pelo que tudo indica, as duas pessoas que tenho simpatia devem se eleger, não vou ter mais uma pauta travada, a gente pode levar muita coisa avante. Quem sabe até ressurgir os ministérios, esses ministérios. Alguns falam: ministério de novo. Olha o tamanho do Brasil, só a Amazônia dá uma Europa Ocidental todinha""”",01/29/21,897,https://congressoemfoco.uol.com.br/governo/bolsonaro-ministerios-novos/,Imprensa,"Durante a campanha, o presidente prometeu governar com apenas 15 ministérios, associando a criação de pastas à corrupção e ao “toma lá, dá cá”; no mandato, Bolsonaro já recriou pastas, como a das Comunicações, e cogita até criar novos ministérios, como o da Amazônia"
Apoio à Lava Jato,"“Apoiar a Lava Jato é fundamental no combate à corrupção no Brasil. O fim da impunidade é uma das frentes que estanca o problema, outra é atacar a corrupção na sua raiz, pondo fim nas indicações políticas do governo em troca de apoio. Nós temos a independência necessária para tal!”",09/11/18,https://twitter.com/jairbolsonaro/status/1039640051142074369?lang=en,Redes Sociais,"Além de romper com Sergio Moro, Bolsonaro fez ainda uma série de críticas à Operação como um todo, chegando a compartilhar publicação chamando o procurador Deltan Dallagnol, chefe da força-tarefa da Lava Jato em Curitiba, de “esquerdista tipo Psol”",08/11/19,334,https://www.poder360.com.br/governo/bolsonaro-compartilha-post-que-diz-que-deltan-e-esquerdista-tipo-psol/,Imprensa,"Bolsonaro chegou ao poder prometendo dar todo o apoio necessário para o prosseguimento da Lava Jato na Justiça Federal de Curitiba. Além de romper com Sergio Moro e fazer uma série de críticas à força-tarefa da Operçaão, Bolsonaro indicou, de fora da lista tríplice do MPF, Augusto Aras para a PGR; o procurador determinou a extinção da força-tarefa em Curitiba"
“Carta branca” a Moro,"“Eu conversei com ele que ele terá ampla liberdade para escolher todos os que comporão o seu segundo escalão. O chefe da Polícia Federal, aquele que irá tratar da questão da segurança""",11/01/18,https://www.poder360.com.br/governo/moro-tera-carta-branca-para-composicao-de-superministerio-afirma-bolsonaro/,Imprensa,"“Se eu não posso trocar o superintendente, eu vou trocar o diretor-geral. Não se discute isso aí""",08/22/19,294,"https://politica.estadao.com.br/noticias/geral,bolsonaro-diz-que-diretor-da-pf-e-subordinado-a-ele-e-nao-a-moro,70002977827",Imprensa,"Ao indicar Sergio Moro para o Ministério da Justiça, Bolsonaro disse que concederia “carta branca” ao ministro para a formação da equipe da pasta. Menos de um ano depois, ele sairia do governo acusando o presidente de tentar interferir em diretorias da Polícia Federal"
“Gripezinha” e gravidade da Covid-19,"“Depois da facada, não vai ser uma gripezinha que vai me derrubar não, tá ok? Se o médico ou o ministro da Saúde me recomendar um novo exame, eu farei. Caso contrário, me comportarei como qualquer um de vocês aqui presentes""”",03/24/20,https://www.bbc.com/portuguese/brasil-55107536,Imprensa,"“Falei lá atrás que, no meu caso, pelo meu passado de atleta — eu não generalizei — se pegasse o Covid, não sentiria quase nada. Foi o que eu falei. Então, o pessoal da mídia, a grande mídia, falando que eu chamei de 'gripezinha' a questão do Covid. Não existe um vídeo ou um áudio meu falando dessa forma”",11/26/20,247,https://oglobo.globo.com/brasil/bolsonaro-diz-que-nunca-chamou-coronavirus-de-gripezinha-veja-video-provando-contrario-24768070,Imprensa,"Nos primeiros meses após a chegada do coronavírus no Brasil, foram várias as declarações de Bolsonaro minimizando a gravidade da doença. Em março, o presidente chegou a chamar a doença de “gripezinha” e disse que a crise sanitária era “muito mais uma fantasia”; depois, negou a postura negacionista"
