TXT_MES_NOTIFIC,2015,2016,2017,2018,2019,2020,2021,max (2015-2019),min (2015-2019),mean (2015-2019)
01. Janeiro,4.0,5.0,12.0,20.0,17.0,47.0,1092.0,20.0,4.0,12.0
02. Fevereiro,6.0,8.0,8.0,14.0,56.0,67.0,1153.0,56.0,6.0,18.0
03. Março,6.0,13.0,21.0,12.0,69.0,378.0,1200.0,69.0,6.0,24.0
04. Abril,1.0,69.0,19.0,143.0,57.0,1183.0,829.0,143.0,1.0,58.0
05. Maio,2.0,77.0,16.0,322.0,85.0,2099.0,799.0,322.0,2.0,100.0
06. Junho,3.0,77.0,5.0,106.0,69.0,1901.0,741.0,106.0,3.0,52.0
07. Julho,1.0,44.0,8.0,39.0,39.0,1795.0,650.0,44.0,1.0,26.0
08. Agosto,3.0,20.0,5.0,14.0,39.0,1401.0,344.0,39.0,3.0,16.0
09. Setembro,7.0,13.0,9.0,7.0,24.0,1400.0,0.0,24.0,7.0,12.0
10. Outubro,9.0,11.0,4.0,7.0,20.0,1091.0,0.0,20.0,4.0,10.0
11. Novembro,5.0,6.0,1.0,0.0,24.0,899.0,0.0,24.0,0.0,7.0
12. Dezembro,4.0,10.0,18.0,2.0,17.0,991.0,0.0,18.0,2.0,10.0
