OBJECTID,CD_UF,NM_UF,NM_REGIAO,EST_POP_19,EDOC_TOTAL,EDOC_AGSN,Shape_Length,Shape_Area,PER_AGSN
1,11,Rondônia,Norte,1777225,531231,23236,"32,08010704","19,66788429","4,373991729"
2,12,Acre,Norte,881935,224578,19148,"25,88015916","13,50496485","8,52621361"
3,13,Amazonas,Norte,4144597,1138985,393995,"75,60585685","127,1433263","34,59176372"
4,14,Roraima,Norte,605761,142911,3033,"34,55377083","18,18679248","2,122299893"
5,15,Pará,Norte,8602865,2197240,432518,"70,1533261","101,5961833","19,68460432"
6,16,Amapá,Norte,845731,170712,36835,"23,06464448","11,58032578","21,57727635"
7,17,Tocantins,Norte,1572866,454897,9733,"40,79995363","22,90315694","2,139605229"
8,21,Maranhão,Nordeste,7075181,1843313,144625,"51,92794219","26,897547","7,845927414"
9,22,Piauí,Nordeste,3273227,917414,50382,"30,89356774","20,63000317","5,491740915"
10,23,Ceará,Nordeste,9132078,2651823,243848,"19,52661453","12,1456383","9,195485521"
11,24,Rio Grande do Norte,Nordeste,3506853,1054122,41868,"13,90770687","4,312217094","3,971836277"
12,25,Paraíba,Nordeste,4018127,1266077,64225,"19,12192468","4,622286546","5,072756238"
13,26,Pernambuco,Nordeste,9557071,3100151,327090,"26,10725813","8,049971783","10,5507764"
14,27,Alagoas,Nordeste,3337357,966293,64568,"9,875985972","2,292763842","6,682031227"
15,28,Sergipe,Nordeste,2298696,722062,53203,"9,047534158","1,811314972","7,368203838"
16,29,Bahia,Nordeste,14873064,4422073,469677,"56,33696197","46,98949275","10,62119508"
17,31,Minas Gerais,Sudeste,21168791,6746617,231385,"57,20390376","50,195624","3,429644813"
18,32,Espírito Santo,Sudeste,4018650,1173902,306439,"14,79777184","3,967255834","26,10430854"
19,33,Rio de Janeiro,Sudeste,17264943,5677989,717326,"30,84520493","3,831614953","12,63345174"
20,35,São Paulo,Sudeste,45919049,15056590,1066813,"41,0481978","21,75341586","7,08535598"
21,41,Paraná,Sul,11433957,3787013,135188,"27,77656617","17,77383984","3,569779137"
22,42,Santa Catarina,Sul,7164788,2226262,32416,"31,86589412","8,72407912","1,456073005"
23,43,Rio Grande do Sul,Sul,11377239,3801539,133021,"36,12219878","26,29036354","3,499135482"
24,50,Mato Grosso do Sul,Centro-Oeste,2778986,908456,6766,"35,71199728","30,90282187","0,7447801545"
25,51,Mato Grosso,Centro-Oeste,3484466,1128083,22429,"55,29151144","75,304007","1,988240227"
26,52,Goiás,Centro-Oeste,7018354,2311126,35801,"45,59610411","28,74064129","1,549071751"
27,53,Distrito Federal,Centro-Oeste,3015268,935671,62179,"3,87139316","0,485863409","6,645391382"
