Dia,Bolsonaro,Collor,Dilma,FHC,Itamar,Lula,Temer
35,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2.0,0.0,0.0,0.0,0.0,0.0,1.0
90,2.0,0.0,0.0,0.0,0.0,0.0,2.0
91,3.0,0.0,0.0,0.0,0.0,0.0,2.0
99,3.0,0.0,0.0,0.0,0.0,0.0,3.0
160,3.0,1.0,0.0,0.0,0.0,0.0,3.0
167,3.0,1.0,0.0,0.0,0.0,0.0,4.0
177,3.0,1.0,0.0,1.0,0.0,0.0,4.0
186,3.0,2.0,0.0,1.0,0.0,0.0,4.0
200,3.0,2.0,0.0,1.0,1.0,0.0,4.0
203,3.0,2.0,0.0,1.0,1.0,1.0,4.0
238,4.0,2.0,0.0,1.0,1.0,1.0,4.0
259,4.0,2.0,0.0,1.0,1.0,1.0,6.0
260,4.0,2.0,0.0,1.0,1.0,1.0,12.0
261,4.0,2.0,0.0,1.0,1.0,1.0,13.0
265,4.0,2.0,0.0,1.0,1.0,1.0,16.0
267,4.0,2.0,0.0,1.0,1.0,1.0,17.0
271,4.0,2.0,0.0,1.0,1.0,1.0,18.0
273,4.0,2.0,0.0,1.0,1.0,1.0,19.0
274,4.0,2.0,0.0,1.0,1.0,1.0,22.0
279,4.0,2.0,0.0,1.0,1.0,1.0,23.0
286,4.0,2.0,0.0,1.0,1.0,1.0,24.0
295,4.0,2.0,0.0,1.0,1.0,1.0,25.0
307,5.0,2.0,0.0,1.0,1.0,1.0,25.0
336,5.0,2.0,0.0,1.0,1.0,1.0,26.0
372,6.0,2.0,0.0,1.0,1.0,1.0,26.0
389,6.0,2.0,1.0,1.0,1.0,1.0,26.0
399,6.0,3.0,1.0,1.0,1.0,1.0,26.0
416,7.0,3.0,1.0,1.0,1.0,1.0,26.0
420,7.0,4.0,1.0,1.0,1.0,1.0,26.0
426,8.0,4.0,1.0,1.0,1.0,1.0,26.0
427,9.0,4.0,1.0,1.0,1.0,1.0,26.0
428,10.0,4.0,1.0,1.0,1.0,1.0,26.0
441,12.0,4.0,1.0,1.0,1.0,1.0,26.0
442,13.0,4.0,1.0,1.0,1.0,1.0,26.0
443,17.0,4.0,1.0,1.0,1.0,1.0,26.0
444,18.0,4.0,1.0,1.0,2.0,1.0,26.0
449,20.0,4.0,1.0,1.0,2.0,1.0,26.0
455,21.0,4.0,1.0,1.0,2.0,1.0,26.0
456,22.0,4.0,1.0,1.0,2.0,1.0,26.0
463,23.0,4.0,1.0,1.0,2.0,1.0,26.0
464,24.0,4.0,1.0,1.0,2.0,1.0,26.0
470,25.0,4.0,1.0,1.0,2.0,1.0,26.0
477,26.0,4.0,1.0,1.0,2.0,1.0,26.0
478,29.0,4.0,1.0,1.0,2.0,1.0,26.0
479,31.0,4.0,1.0,1.0,2.0,1.0,26.0
482,33.0,4.0,1.0,1.0,2.0,1.0,26.0
484,34.0,4.0,1.0,1.0,2.0,1.0,26.0
490,37.0,4.0,1.0,1.0,2.0,1.0,26.0
491,39.0,4.0,1.0,1.0,2.0,1.0,26.0
497,40.0,4.0,1.0,1.0,2.0,1.0,26.0
506,42.0,4.0,1.0,1.0,2.0,1.0,26.0
