UF/BR,2017,2019,2020,Variação
Acre,8520,11738,13287,'55,9507042253521'
Alagoas,8512,12731,16604,'95,0657894736842'
Amapá,2471,4785,5646,'128,490489680291'
Amazonas,7866,9776,10535,'33,9308415967455'
Bahia,21577,33314,43319,'100,764703156139'
Ceará,13430,17560,21973,'63,6113179448995'
Distrito Federal,35693,227940,236296,'562,023365926092'
Espírito Santo,14044,21268,31155,'121,838507547707'
Goiás,27943,45289,55702,'99,3415166589128'
Maranhão,9252,13779,17748,'91,8287937743191'
Mato Grosso,19978,27201,38025,'90,3343678045851'
Mato Grosso do Sul,12023,16217,20492,'70,43999001913'
Minas Gerais,54191,81076,110039,'103,057703308667'
Pará,13942,19817,27024,'93,8315880074595'
Paraíba,6815,14511,17131,'151,371973587674'
Paraná,47634,62878,76701,'61,0215392366797'
Pernambuco,17927,23692,29575,'64,9746192893401'
Piauí,5390,10134,11820,'119,294990723562'
Rio de Janeiro,33342,39881,55801,'67,3594865335013'
Rio Grande do Norte,8903,13798,16791,'88,599348534202'
Rio Grande do Sul,63738,96269,122915,'92,8441432112711'
Rondônia,10249,16054,22790,'122,363157381208'
Roraima,2268,3474,4727,'108,42151675485'
Santa Catarina,48939,63319,80759,'65,019718424978'
São Paulo,134496,154378,173061,'28,6737152034261'
Sergipe,4121,7323,9147,'121,960689153118'
Tocantins,4708,8468,10428,'121,495327102804'
Brasil,637972,1056670,1279491,'100,555980513251'
