Nº da Medida,Ementa,Situação
"102, de 30.12.2002
Publicada no DOU de 31.12.2002
Exposição de Motivos","Abre crédito extraordinário no valor de R$ 36.874.206,00, em favor do Ministério da Previdência e Assistência Social, para os fins que especifica.","Convertida
Lei nº 10.665, de 2003"
"101, de 30.12.2002
Publicada no DOU de 31.12.2002 (Ed. extra)
Exposição de Motivos
Prorrogação de prazo",Dispõe sobre a contribuição para o Programa de Integração Social e de Formação do Patrimônio do Servidor Público - PIS/PASEP e da Contribuição para Seguridade Social - COFINS devidas pelas sociedades cooperativas em geral.,"Convertida
Lei nº 10.676, de 2003"
"100, de 30.12.2002
Publicada no DOU de 30.12.2002 (Ed. extra)
Exposição de Motivos","Altera as Leis nos 8.248, de 23 de outubro de 1991, 8.387, de 30 de dezembro de 1991, e 10.176, de 11 de janeiro de 2001, dispondo sobre a capacitação e competitividade do setor de tecnologia da informação, e dá outras providências.","Convertida
Lei nº 10.664, de 2003"
"99, de 30.12.2002
Publicada no DOU de 30.12.2002 (Ed. extra)
Exposição de Motivos","Abre crédito extraordinário no valor de R$ 38.064.000,00, em favor do Ministério dos Transportes, para os fins que especifica.","Convertida
Lei nº 10.663, de 2003"
"98, de 27.12.2002
Publicada no DOU de 30.12.2002
Exposição de Motivos","Abre crédito extraordinário no valor de R$ 63.180.000,00, em favor do Ministério dos Transportes, para os fins que especifica.","Convertida
Lei nº 10.662, de 2003"
"97, de 27.12.2002
Publicada no DOU de 30.12.2002
Exposição de Motivos","Altera o art. 26 da Medida Provisória nº 2.192-70, de 24 de agosto de 2001, que estabelece mecanismos objetivando incentivar a redução da presença do setor público estadual na atividade financeira bancária, dispõe sobre a privatização de instituições financeiras, e dá outras providências.","Convertida
Lei nº 10.661, de 2003"
"96, de 27.12.2002
Publicada no DOU de 27.12.2002 (Ed. extra)
Exposição de Motivos","Abre crédito extraordinário no valor de R$ 24.401.000,00, em favor do Ministério dos Transportes, para os fins que especifica.","Convertida
Lei nº 10.660, de 2003"
"95, de 26.12.2002
Publicada no DOU de 27.12.2002
Exposição de Motivos","Dá nova redação ao art. 4º da Lei no 6.704, de 26 de outubro de 1979, que dispõe sobre o seguro de crédito à exportação e dá outras providências.","Convertida
Lei nº 10.659, de 2003"
"94, de 26.12.2002
Publicada no DOU de 27.12.2002
Exposição de Motivos
Prorrogação de prazo","Reabre o prazo para que os Municípios que refinanciaram suas dívidas junto à União possam contratar empréstimos ou financiamentos e dá nova redação ao art. 2o da Lei no 8.989, de 24 de fevereiro de 1995.","Convertida
Lei nº 10.690, de 2003"
"93, de 24.12.2002
Publicada no DOU de 26.12.2002
Exposição de Motivos","Abre crédito extraordinário no valor de R$ 165.620.000,00, em favor do Ministério dos Transportes, para os fins que especifica.","Convertida
Lei nº 10.658, de 2003"
"92, de 23.12.2002
Publicada no DOU de 24.12.2002
Exposição de Motivos","Abre crédito extraordinário no valor de R$ 428.064.000,00, em favor do Ministério dos Transportes, para os fins que especifica.","Convertida
Lei nº 10.657, de 2003"
"91, de 23.12.2002
Publicada no DOU de 24.12.2002
Exposição de Motivos","Altera a Lei nº 6.360, de 23 de setembro de 1976, que dispõe sobre a vigilância sanitária a que ficam sujeitos, as drogas, os insumos farmacêuticos e correlatos, cosméticos, saneantes e outros produtos.","Convertida
Lei nº 10.669, de 2003"
"90, de 20.12.2002
Publicada no DOU de 23.12.2002
Exposição de Motivos","Abre crédito extraordinário no valor de R$ 258.414.000,00, em favor do Ministério dos Transportes, para os fins que especifica.","Convertida
Lei nº 10.656, de 2003"
"89, de 20.12.2002
Publicada no DOU de 23.12.2002
Exposição de Motivos","Abre crédito extraordinário no valor de R$ 38.896.000,00, em favor do Ministério dos Transportes, para os fins que especifica.","Convertida
Lei nº 10.655, de 2003"
"88, de 20.12.2002
Publicada no DOU de 23.12.2002
Exposição de Motivos","Abre crédito extraordinário ao Orçamento de Investimento para 2002, em favor de diversas empresas do Grupo PETROBRÁS, no valor total de R$ 2.259.122.810,00, e reduz o Orçamento de Investimento das mesmas empresas no valor global de R$ 1.536.449.550,00, para os fins que especifica.","Convertida
Lei nº 10.654, de 2003"
"87, de 19.12.2002
Publicada no DOU de 19.12.2002 (Ed. extra)
Exposição de Motivos","Abre crédito extraordinário no valor de R$ 780.039.000,00, em favor do Ministério dos Transportes, para os fins que especifica.","Convertida
Lei nº 10.653, de 2003"
"86, de 18.12.2002
Publicada no DOU de 19.12.2002
Exposição de Motivos","Altera dispositivos da Lei nº 8.745, de 9 de dezembro de 1993, e da Lei nº 10.470, de 25 de junho de 2002, cria cargos efetivos, cargos comissionados e gratificações no âmbito da Administração Pública Federal, e dá outras providências.","Convertida
Lei nº 10.667, de 2003"
"85, de 17.12.2002
Publicada no DOU de 18.12.2002
Exposição de Motivos","Abre crédito extraordinário, em favor do Ministério da Integração Nacional, no valor de R$ 45.000.000,00, para os fins que especifica.","Convertida
Lei nº 10.652, de2003"
"84, de 12.12.2002
Publicada no DOU de 13.12.2002
Exposição de Motivos","Abre crédito extraordinário, em favor do Ministério da Integração Nacional, no valor de R$ 10.000.000,00, para os fins que especifica.","Convertida
Lei nº 10.645, de 2003"
"83, de 12.12.2002
Publicada no DOU de 13.12.2002
Exposição de Motivos",Dispõe sobre a concessão da aposentadoria especial ao cooperado de cooperativa de trabalho ou de produção e dá outras providências.,"Convertida
Lei nº 10.666, de 2003"
